N° Ticket;Statut;Titre;N° PPV Site;Nom du Site;Code Banco;Nom Contrat;Code Agence;Agence;Région;Util. Demandeur;Util. Prise en compte;Util. Resp. Ticket;Util. Cloture;Date Demande;Date Prise en compte;Date Réal. Prog.;Date Cloture;Type de compte;Imputation;
29609;Cloturé sans suite;Mise en place d'un accès secours 4G;15847;SETE STEP;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;GJH222;GJH222;GJH222;GJH222;2019-11-13;2019-11-13;2019-11-26;2020-02-13;Exploitation;-;
29582;Cloturé sans suite;Fourniture de matériel;;;;;1111;AG Thau Méditerranée;Occitanie;GDC408;GJH222;GJH222;GJH222;2019-11-12;2019-11-12;2019-11-13;2020-01-22;Exploitation;-;
29577;Cloturé sans suite;Topkapi Defaut Niveau Tres Haut PR;;;;;1112;AG Béziers Méditerranée;Occitanie;DCF400;GJH222;QJA840;QJA840;2019-11-12;2019-11-21;2019-11-26;2019-12-04;Exploitation;-;
29561;Cloturé sans suite;Report SMS Secto HS;;;;;1109;AG Occitanie Nord Est;Occitanie;EHI493;FCK343;FCK343;FCK343;2019-11-12;2019-11-12;2019-11-12;2019-11-13;Exploitation;-;
29560;Cloturé sans suite;Manque barre de recherche sur Topkapi PR_Agde;;;;;1111;AG Thau Méditerranée;Occitanie;VJA542;IAF033;IAF033;IAF033;2019-11-12;2019-11-12;2019-11-12;2019-11-12;Exploitation;-;
29558;Cloturé sans suite;courbe réception GSM;16264;SETE PR Moulins Est;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;GID021;IAF033;IAF033;IAF033;2019-11-12;2019-11-13;2019-11-13;2019-11-13;Exploitation;-;
29556;Cloturé sans suite;courbe niveau réception GSM individuelle site;;;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;GID021;;;GJH222;2019-11-12;1970-01-01;1970-01-01;2019-11-13;Exploitation;-;
29555;Cloturé;alimentation syndicat;13817;RAISSAC-SUR-LAMPY Réservoir village;24275;CA CARCASSONNE AGGLO - Lot n°1 - Eau potable;1113;AG Aude Pyrénées Orientales;Occitanie;BGK570;AFG555;AFG555;AFG555;2019-11-12;2019-11-14;2019-11-29;2019-11-14;Exploitation;-;
29554;Cloturé sans suite;Problème remontée de donnée;81295;PIGNAN QSECTO Maison de retraite;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;HBK092;QJA840;GJH222;GJH222;2019-11-12;2019-12-23;2020-01-07;2020-02-11;Exploitation;-;
29551;Cloturé sans suite;Problème remontée de donnée;21171;MARSEILLAN QSECTO Lagunage Onglous;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;HBK092;QJA840;GJH222;GJH222;2019-11-12;2019-12-23;2020-01-07;2020-02-11;Exploitation;-;
29550;Cloturé sans suite;Problème remontée de donnée;100523;SAINT-JEAN-DE-VÉDAS QSECTO Impasse Jasses;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;HBK092;QJA840;GJH222;GJH222;2019-11-12;2019-12-23;2020-01-07;2020-02-11;Exploitation;-;
29549;Cloturé sans suite;Problème remontée de donnée;100524;SAINT-JEAN-DE-VÉDAS QSECTO Rue de Rouderes;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;HBK092;QJA840;GJH222;GJH222;2019-11-12;2019-12-23;2020-01-07;2020-02-11;Exploitation;-;
29548;Cloturé sans suite;Problème remontée de donnée;16269;COURNONSEC Reprise les Ecoles;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;HBK092;QJA840;QJA840;QJA840;2019-11-12;2019-12-23;2020-01-07;2019-12-24;Exploitation;-;
29545;Cloturé sans suite;Prob de com;97272;SAINT-LAURENT-D'AIGOUZE PR Souteyranne;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2019-11-12;2019-11-12;2019-11-12;2019-11-12;Exploitation;-;
29539;Cloturé sans suite;PROJET : Serveur WEB ER OCC;;;;;HC115;Hors Contrat;Occitanie;IAF033;IAF033;IAF033;IAF033;2019-11-12;2019-11-12;2019-12-31;2020-01-27;Exploitation;-;
29538;Cloturé sans suite;PROJET : Télécontrole Step Sète;15847;SETE STEP;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;IAF033;IAF033;IAF033;IAF033;2019-11-12;2019-11-12;2019-11-19;2020-01-21;Exploitation;-;
29511;Cloturé sans suite;problème animation synoptique topkapi;13653;SAINT-HILAIRE STEP;9553;SAINT-HILAIRE;1113;AG Aude Pyrénées Orientales;Occitanie;IFK392;;;AFG555;2019-11-12;1970-01-01;1970-01-01;2019-11-14;Exploitation;-;
29508;Cloturé;PC déshydratation HS;13603;CARCASSONNE STEP St Jean;24276;CA CARCASSONNE AGGLO - Lot n°2 - Assainissement collectif;1113;AG Aude Pyrénées Orientales;Occitanie;IFK392;AFG555;AFG555;AFG555;2019-11-12;2019-11-14;2019-11-29;2019-11-14;Exploitation;-;
29492;Cloturé sans suite;Remplacer libellé;21200;LE GRAU-DU-ROI Réservoir Port Camargue;24712;TERRE DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2019-11-08;2019-11-12;2019-11-27;2019-11-12;Exploitation;-;
29490;Cloturé sans suite;Dépannage ORDO;;;;;1110;AG Pyrénées Val de Garonne;Occitanie;IAF033;IAF033;IAF033;IAF033;2019-11-08;2019-11-08;2019-11-08;2019-11-08;Exploitation;-;
29488;Cloturé sans suite;Modifs S500;21122;GALLARGUES LE MONTUEUX PR Cimetiere;22687;GALLARGUES-LE-MONTUEUX;1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2019-11-08;2019-11-12;2019-11-27;2019-11-12;Exploitation;-;
29459;Cloturé sans suite;ECHELLE 4 20 mA NIVEAU BACHE;15845;SETE PR Montpellier 1;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;CEF548;GJH222;GJH222;GJH222;2019-11-08;2019-11-15;2019-11-15;2019-11-15;Exploitation;-;
29455;Cloturé sans suite;Modif niv alarmes;63651;BANASSAC STEP La Canourgue;19699;SIVU DU PAYS D'ACCUEIL DE LA VALLÉE DU LOT - Exploitation STEP;1109;AG Occitanie Nord Est;Occitanie;HJG421;FCK343;FCK343;FCK343;2019-11-08;2019-11-08;2019-11-08;2019-11-08;Exploitation;-;
29449;Cloturé sans suite;COM HS;94397;LE GRAU-DU-ROI QEU 8 Rue du Progrès;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2019-11-08;2019-11-08;2019-11-08;2020-03-25;Exploitation;-;
29448;Cloturé sans suite;Modif droit Gaetan (Inhib);;;;;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2019-11-08;2019-11-08;2019-11-08;2019-11-08;Exploitation;-;
29444;Cloturé sans suite;Supression alarmes sur tableur / syno Topkapi;15822;SETE PR  Ile de Thau;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;EDK536;IAF033;IAF033;IAF033;2019-11-08;2019-11-08;2019-11-08;2019-11-08;Exploitation;-;
29442;Cloturé sans suite;suppression info sur tableur/synoptique Topkapi SAM;62934;SETE PR Villeroy sous vide;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;EDK536;IAF033;IAF033;IAF033;2019-11-08;2019-11-08;2019-11-23;2019-11-08;Exploitation;-;
29423;Cloturé sans suite;Changement numéro d'appel astreinte;;;;;1110;AG Pyrénées Val de Garonne;Occitanie;HAI375;AIH262;AIH262;AIH262;2019-11-07;2019-11-07;2019-11-07;2020-01-13;Exploitation;-;
29422;Cloturé sans suite;Problème remontée de donnée;98053;FRONTIGNAN PR Mobil;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;HBK092;QJA840;QJA840;QJA840;2019-11-07;2019-12-23;2020-01-07;2019-12-23;Exploitation;-;
29421;Cloturé sans suite;Dépannage Open client;;;;;1111;AG Thau Méditerranée;Occitanie;DGH201;IAF033;IAF033;IAF033;2019-11-07;2019-11-07;2019-11-06;2019-11-07;Exploitation;-;
29413;Cloturé sans suite;COMMANDE carte SIM pour bascule RTC/GSM;60164;DONDAS PR Le Bourg La Route;14076;EAU 47 (ex SEA du SUD DU LOT);1110;AG Pyrénées Val de Garonne;Occitanie;QB4090;AIH262;AIH262;AIH262;2019-11-07;2019-11-07;2019-11-22;2020-06-19;Exploitation;-;
29409;Cloturé sans suite;commande carte SIM bascule RTC/GSM;61367;CONDOM PR Barlet;24901;SIAEP DE CONDOM CAUSSENS ;1110;AG Pyrénées Val de Garonne;Occitanie;QB4090;AIH262;AIH262;AIH262;2019-11-07;2019-11-08;2019-11-23;2019-12-16;Investissement;X403EPU24901;
29395;Cloturé sans suite;Problème remontée de donnée;98019;BALARUC-LE-VIEUX PR Issanka;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;HBK092;QJA840;QJA840;QJA840;2019-11-07;2019-12-23;2020-01-07;2019-12-24;Exploitation;-;
29361;Cloturé sans suite;Supprimer Pegairolles de l'esscalette du OCCAG_ONE;;;;;1109;AG Occitanie Nord Est;Occitanie;IAF033;IAF033;FCK343;FCK343;2019-11-07;2019-11-07;2019-11-07;2019-11-08;Exploitation;-;
